RankEp1,RankEp2,RankEp3,RankEp4,RankEp5,RankEp6,Income
1,3,4,5,2,6,"$50,000 - $99,999"
4,1,5,6,3,2,"$50,000 - $99,999"
1,2,3,4,5,6,"$50,000 - $99,999"
6,5,4,2,1,3,"$25,000 - $49,999"
3,4,5,1,2,6,"$150,000+"
2,1,3,4,5,6,"$100,000 - $149,999"
5,4,6,3,2,1,"$0 - $24,999"
3,4,1,5,6,2,"$25,000 - $49,999"
4,6,5,1,2,3,"$50,000 - $99,999"
4,6,1,2,5,3,"$50,000 - $99,999"
1,2,3,6,4,5,"$50,000 - $99,999"
1,2,3,4,5,6,"$50,000 - $99,999"
2,3,4,5,1,6,"$150,000+"
5,6,3,2,1,4,"$50,000 - $99,999"
6,1,3,2,4,5,"$25,000 - $49,999"
6,4,5,1,2,3,"$50,000 - $99,999"
2,3,4,1,5,6,"$150,000+"
4,5,3,6,1,2,"$100,000 - $149,999"
4,5,6,1,2,3,"$50,000 - $99,999"
4,5,6,2,1,3,"$0 - $24,999"
3,4,5,6,1,2,"$100,000 - $149,999"
6,4,5,3,2,1,"$50,000 - $99,999"
1,2,3,4,5,6,"$50,000 - $99,999"
6,4,5,2,1,3,"$100,000 - $149,999"
4,6,5,3,2,1,"$100,000 - $149,999"
4,5,6,1,2,3,"$50,000 - $99,999"
2,3,4,5,1,6,"$25,000 - $49,999"
2,3,1,4,5,6,"$50,000 - $99,999"
4,5,6,1,2,3,"$25,000 - $49,999"
6,5,3,4,1,2,"$100,000 - $149,999"
2,3,4,5,6,1,"$25,000 - $49,999"
6,5,4,3,2,1,"$25,000 - $49,999"
3,4,5,6,1,2,"$100,000 - $149,999"
3,4,5,6,1,2,"$150,000+"
3,4,5,6,1,2,"$100,000 - $149,999"
2,3,4,1,5,6,"$100,000 - $149,999"
4,5,6,1,2,3,"$25,000 - $49,999"
4,5,6,1,2,3,"$25,000 - $49,999"
2,4,5,6,1,3,"$25,000 - $49,999"
4,6,5,3,1,2,"$25,000 - $49,999"
3,4,5,6,1,2,"$100,000 - $149,999"
1,2,3,5,6,4,"$0 - $24,999"
2,6,3,1,5,4,"$0 - $24,999"
4,5,6,1,2,3,"$50,000 - $99,999"
4,3,5,2,6,1,"$0 - $24,999"
6,4,5,3,2,1,"$100,000 - $149,999"
2,3,4,5,1,6,"$25,000 - $49,999"
3,4,5,6,1,2,"$50,000 - $99,999"
2,3,4,5,1,6,"$50,000 - $99,999"
2,3,4,1,5,6,"$100,000 - $149,999"
3,4,5,6,1,2,"$50,000 - $99,999"
3,2,4,5,6,1,"$150,000+"
4,5,6,1,3,2,"$50,000 - $99,999"
4,5,6,2,3,1,"$50,000 - $99,999"
5,2,3,4,6,1,"$50,000 - $99,999"
4,5,6,3,1,2,"$50,000 - $99,999"
4,5,6,2,3,1,"$50,000 - $99,999"
5,6,1,2,4,3,"$50,000 - $99,999"
4,5,6,2,3,1,"$50,000 - $99,999"
1,2,3,4,5,6,"$25,000 - $49,999"
3,4,5,6,1,2,"$150,000+"
6,5,4,2,1,3,"$50,000 - $99,999"
5,4,6,1,2,3,"$150,000+"
1,2,4,5,6,3,"$0 - $24,999"
4,5,6,2,1,3,"$50,000 - $99,999"
1,2,3,4,5,6,"$0 - $24,999"
4,6,5,1,2,3,"$150,000+"
1,4,5,6,3,2,"$50,000 - $99,999"
1,2,3,4,5,6,"$0 - $24,999"
6,5,2,4,3,1,"$25,000 - $49,999"
6,5,4,3,2,1,"$100,000 - $149,999"
2,3,4,5,1,6,"$50,000 - $99,999"
5,6,3,1,4,2,"$50,000 - $99,999"
5,4,6,2,1,3,"$150,000+"
5,4,6,3,1,2,"$25,000 - $49,999"
6,5,4,3,1,2,"$25,000 - $49,999"
6,5,1,2,3,4,"$25,000 - $49,999"
6,4,5,2,1,3,"$50,000 - $99,999"
3,4,5,6,1,2,"$100,000 - $149,999"
6,4,5,1,2,3,"$50,000 - $99,999"
4,5,6,1,2,3,"$100,000 - $149,999"
6,5,3,2,1,4,"$50,000 - $99,999"
4,5,6,1,2,3,"$50,000 - $99,999"
3,4,5,6,1,2,"$25,000 - $49,999"
3,4,5,6,2,1,"$50,000 - $99,999"
3,5,6,1,2,4,"$50,000 - $99,999"
3,4,5,6,2,1,"$50,000 - $99,999"
4,5,6,2,1,3,"$100,000 - $149,999"
4,5,6,3,1,2,"$0 - $24,999"
6,5,4,3,2,1,"$50,000 - $99,999"
5,4,3,6,1,2,"$50,000 - $99,999"
5,2,1,6,3,4,"$25,000 - $49,999"
6,3,4,5,1,2,"$50,000 - $99,999"
3,6,5,4,1,2,"$50,000 - $99,999"
6,5,4,1,3,2,"$0 - $24,999"
1,2,3,4,5,6,"$0 - $24,999"
6,4,5,1,2,3,"$25,000 - $49,999"
3,4,5,6,1,2,"$25,000 - $49,999"
4,5,6,2,1,3,"$50,000 - $99,999"
1,4,5,6,2,3,"$100,000 - $149,999"
5,6,4,1,2,3,"$25,000 - $49,999"
5,4,1,2,3,6,"$50,000 - $99,999"
4,5,6,1,2,3,"$50,000 - $99,999"
1,4,5,6,2,3,"$150,000+"
4,5,6,1,2,3,"$50,000 - $99,999"
5,6,1,2,3,4,"$0 - $24,999"
3,4,5,6,1,2,"$150,000+"
3,4,5,6,1,2,"$100,000 - $149,999"
2,4,6,5,3,1,"$25,000 - $49,999"
6,2,3,1,4,5,"$50,000 - $99,999"
5,6,4,1,2,3,"$50,000 - $99,999"
4,5,6,1,2,3,"$50,000 - $99,999"
2,3,6,5,1,4,"$25,000 - $49,999"
4,5,6,1,2,3,"$25,000 - $49,999"
1,2,3,4,5,6,"$0 - $24,999"
4,5,6,2,3,1,"$100,000 - $149,999"
6,5,4,1,2,3,"$50,000 - $99,999"
4,5,6,1,2,3,"$50,000 - $99,999"
1,3,2,4,6,5,"$50,000 - $99,999"
6,5,4,1,2,3,"$50,000 - $99,999"
3,6,5,2,1,4,"$0 - $24,999"
4,5,6,1,3,2,"$100,000 - $149,999"
5,6,1,2,3,4,"$25,000 - $49,999"
4,5,6,1,3,2,"$25,000 - $49,999"
5,6,4,2,1,3,"$150,000+"
4,5,3,6,1,2,"$0 - $24,999"
1,2,3,6,5,4,"$25,000 - $49,999"
1,6,4,5,2,3,"$50,000 - $99,999"
6,3,4,2,1,5,"$100,000 - $149,999"
3,4,5,6,2,1,"$50,000 - $99,999"
1,2,3,4,5,6,"$150,000+"
3,6,4,5,1,2,"$0 - $24,999"
2,1,3,6,4,5,"$100,000 - $149,999"
1,2,3,4,5,6,"$25,000 - $49,999"
4,5,3,6,2,1,"$100,000 - $149,999"
3,4,5,6,1,2,"$25,000 - $49,999"
4,5,6,1,3,2,"$25,000 - $49,999"
1,4,6,5,2,3,"$25,000 - $49,999"
4,5,3,6,1,2,"$50,000 - $99,999"
4,5,6,1,2,3,"$50,000 - $99,999"
1,2,3,4,5,6,"$50,000 - $99,999"
4,2,5,6,3,1,"$100,000 - $149,999"
3,4,5,6,1,2,"$25,000 - $49,999"
4,6,5,1,3,2,"$25,000 - $49,999"
6,2,5,3,1,4,"$25,000 - $49,999"
3,4,5,6,1,2,"$25,000 - $49,999"
4,5,6,1,3,2,"$50,000 - $99,999"
6,5,4,2,1,3,"$50,000 - $99,999"
1,2,4,5,6,3,"$100,000 - $149,999"
6,5,4,2,1,3,"$50,000 - $99,999"
6,5,4,1,2,3,"$100,000 - $149,999"
6,4,5,1,3,2,"$100,000 - $149,999"
1,2,3,4,5,6,"$50,000 - $99,999"
4,5,2,1,6,3,"$100,000 - $149,999"
6,4,5,1,2,3,"$0 - $24,999"
6,5,3,2,1,4,"$0 - $24,999"
4,5,6,1,2,3,"$100,000 - $149,999"
4,5,6,1,3,2,"$50,000 - $99,999"
1,2,3,4,5,6,"$150,000+"
1,2,3,4,5,6,"$50,000 - $99,999"
4,5,3,6,1,2,"$0 - $24,999"
6,5,4,3,1,2,"$25,000 - $49,999"
1,2,3,4,5,6,"$50,000 - $99,999"
5,2,4,6,1,3,"$100,000 - $149,999"
4,5,6,2,3,1,"$25,000 - $49,999"
4,5,6,3,1,2,"$25,000 - $49,999"
4,5,6,1,2,3,"$100,000 - $149,999"
4,5,6,1,3,2,"$0 - $24,999"
1,3,4,5,2,6,"$25,000 - $49,999"
2,3,4,6,5,1,"$150,000+"
3,6,4,5,1,2,"$50,000 - $99,999"
3,4,5,6,1,2,"$25,000 - $49,999"
3,4,5,2,1,6,"$25,000 - $49,999"
3,4,5,6,1,2,"$25,000 - $49,999"
1,5,2,3,4,6,"$0 - $24,999"
4,5,6,3,1,2,"$50,000 - $99,999"
4,5,3,6,1,2,"$100,000 - $149,999"
1,3,2,4,5,6,"$25,000 - $49,999"
5,6,4,1,3,2,"$50,000 - $99,999"
6,2,1,3,4,5,"$0 - $24,999"
4,5,6,2,3,1,"$50,000 - $99,999"
2,1,3,4,5,6,"$150,000+"
6,5,4,3,1,2,"$0 - $24,999"
5,6,4,1,2,3,"$150,000+"
4,6,5,1,2,3,"$0 - $24,999"
6,5,4,1,2,3,"$50,000 - $99,999"
2,3,4,5,6,1,"$0 - $24,999"
5,6,4,2,1,3,"$150,000+"
1,2,3,4,5,6,"$25,000 - $49,999"
4,5,3,6,2,1,"$25,000 - $49,999"
3,4,5,6,1,2,"$25,000 - $49,999"
6,4,5,2,3,1,"$0 - $24,999"
1,4,5,2,6,3,"$50,000 - $99,999"
5,3,6,4,1,2,"$25,000 - $49,999"
6,4,5,3,1,2,"$50,000 - $99,999"
6,1,3,5,4,2,"$50,000 - $99,999"
1,2,3,4,5,6,"$50,000 - $99,999"
5,6,4,3,1,2,"$0 - $24,999"
1,3,5,6,2,4,"$50,000 - $99,999"
4,5,6,1,2,3,"$50,000 - $99,999"
2,3,4,5,1,6,"$25,000 - $49,999"
1,2,3,4,5,6,"$150,000+"
3,5,2,1,4,6,"$50,000 - $99,999"
6,5,4,1,3,2,"$50,000 - $99,999"
4,5,6,1,2,3,"$50,000 - $99,999"
1,3,2,6,4,5,"$25,000 - $49,999"
2,5,6,1,3,4,"$25,000 - $49,999"
6,4,5,2,1,3,"$100,000 - $149,999"
6,3,5,1,2,4,"$100,000 - $149,999"
1,2,3,4,5,6,"$50,000 - $99,999"
4,5,6,3,1,2,"$150,000+"
1,2,3,4,5,6,"$100,000 - $149,999"
1,4,5,3,2,6,"$150,000+"
3,5,4,6,1,2,"$150,000+"
1,3,4,5,2,6,"$50,000 - $99,999"
1,5,4,2,6,3,"$25,000 - $49,999"
5,6,4,1,3,2,"$150,000+"
6,5,4,1,3,2,"$0 - $24,999"
3,2,1,6,4,5,"$25,000 - $49,999"
4,5,6,1,2,3,"$50,000 - $99,999"
4,5,6,1,3,2,"$0 - $24,999"
3,5,6,1,2,4,"$25,000 - $49,999"
4,5,6,1,3,2,"$150,000+"
4,5,6,2,1,3,"$0 - $24,999"
3,4,5,1,2,6,"$0 - $24,999"
5,4,6,3,2,1,"$0 - $24,999"
4,6,5,1,2,3,"$100,000 - $149,999"
1,2,3,4,5,6,"$25,000 - $49,999"
6,4,3,2,1,5,"$100,000 - $149,999"
6,4,5,2,1,3,"$150,000+"
2,3,4,5,1,6,"$25,000 - $49,999"
1,2,3,4,5,6,"$25,000 - $49,999"
1,2,3,4,5,6,"$100,000 - $149,999"
1,2,5,6,3,4,"$50,000 - $99,999"
3,5,6,4,1,2,"$50,000 - $99,999"
6,2,3,4,1,5,"$50,000 - $99,999"
3,4,5,6,1,2,"$100,000 - $149,999"
3,5,6,1,4,2,"$50,000 - $99,999"
1,2,3,4,5,6,"$25,000 - $49,999"
6,3,2,1,5,4,"$0 - $24,999"
2,6,5,4,3,1,"$150,000+"
5,6,3,4,1,2,"$50,000 - $99,999"
6,5,4,1,2,3,"$50,000 - $99,999"
2,5,6,4,1,3,"$0 - $24,999"
4,5,6,3,2,1,"$25,000 - $49,999"
1,2,3,5,6,4,"$50,000 - $99,999"
3,1,2,6,5,4,"$150,000+"
2,4,5,6,3,1,"$50,000 - $99,999"
4,5,6,3,1,2,"$150,000+"
2,3,4,5,1,6,"$0 - $24,999"
5,6,1,2,3,4,"$50,000 - $99,999"
2,4,3,5,6,1,"$100,000 - $149,999"
1,2,3,4,5,6,"$25,000 - $49,999"
3,6,5,1,2,4,"$50,000 - $99,999"
4,5,6,3,1,2,"$25,000 - $49,999"
3,4,5,6,2,1,"$100,000 - $149,999"
4,6,5,1,2,3,"$100,000 - $149,999"
5,4,6,2,1,3,"$50,000 - $99,999"
2,3,4,6,1,5,"$25,000 - $49,999"
6,3,1,2,4,5,"$25,000 - $49,999"
4,3,5,6,1,2,"$25,000 - $49,999"
5,6,3,2,1,4,"$50,000 - $99,999"
5,2,3,6,1,4,"$25,000 - $49,999"
4,5,6,2,3,1,"$50,000 - $99,999"
4,5,6,3,2,1,"$50,000 - $99,999"
6,5,4,3,2,1,"$50,000 - $99,999"
6,5,4,1,2,3,"$50,000 - $99,999"
4,6,5,3,2,1,"$0 - $24,999"
4,5,6,3,1,2,"$150,000+"
4,6,5,2,3,1,"$25,000 - $49,999"
6,5,4,3,2,1,"$50,000 - $99,999"
2,3,4,5,6,1,"$0 - $24,999"
5,6,4,3,1,2,"$50,000 - $99,999"
4,5,6,2,3,1,"$100,000 - $149,999"
6,5,4,1,2,3,"$50,000 - $99,999"
4,5,6,1,3,2,"$0 - $24,999"
1,2,3,4,5,6,"$50,000 - $99,999"
4,5,6,1,2,3,"$50,000 - $99,999"
6,5,4,3,2,1,"$25,000 - $49,999"
4,1,2,5,6,3,"$25,000 - $49,999"
3,4,5,6,1,2,"$25,000 - $49,999"
3,4,5,6,1,2,"$50,000 - $99,999"
3,4,5,6,1,2,"$50,000 - $99,999"
4,5,6,1,3,2,"$0 - $24,999"
4,5,6,1,3,2,"$150,000+"
2,3,4,5,1,6,"$25,000 - $49,999"
4,3,5,6,1,2,"$25,000 - $49,999"
6,5,4,1,3,2,"$100,000 - $149,999"
4,5,6,1,2,3,"$150,000+"
5,6,4,1,3,2,"$50,000 - $99,999"
6,5,4,2,1,3,"$150,000+"
1,4,5,6,2,3,"$150,000+"
3,4,5,6,1,2,"$100,000 - $149,999"
4,5,6,1,2,3,"$150,000+"
4,5,1,6,2,3,"$50,000 - $99,999"
1,2,3,4,5,6,"$100,000 - $149,999"
5,3,6,1,2,4,"$150,000+"
4,6,5,2,3,1,"$50,000 - $99,999"
6,5,3,4,1,2,"$50,000 - $99,999"
1,2,3,4,5,6,"$50,000 - $99,999"
4,5,6,3,1,2,"$25,000 - $49,999"
3,2,1,5,6,4,"$0 - $24,999"
1,5,6,2,4,3,"$100,000 - $149,999"
3,4,5,6,1,2,"$25,000 - $49,999"
3,4,5,6,1,2,"$100,000 - $149,999"
4,5,6,2,3,1,"$50,000 - $99,999"
5,6,4,1,2,3,"$50,000 - $99,999"
1,2,3,4,5,6,"$25,000 - $49,999"
1,5,2,6,4,3,"$100,000 - $149,999"
6,4,5,2,1,3,"$50,000 - $99,999"
4,5,1,6,2,3,"$50,000 - $99,999"
1,2,3,4,5,6,"$50,000 - $99,999"
3,5,6,4,1,2,"$150,000+"
4,5,3,6,1,2,"$50,000 - $99,999"
6,4,5,3,1,2,"$50,000 - $99,999"
3,2,1,5,4,6,"$50,000 - $99,999"
6,5,4,1,2,3,"$0 - $24,999"
6,4,5,1,2,3,"$50,000 - $99,999"
4,5,6,1,2,3,"$100,000 - $149,999"
3,4,5,6,2,1,"$50,000 - $99,999"
2,3,4,5,1,6,"$0 - $24,999"
3,4,2,5,6,1,"$25,000 - $49,999"
4,5,6,1,2,3,"$25,000 - $49,999"
5,4,3,6,1,2,"$100,000 - $149,999"
5,6,4,3,1,2,"$50,000 - $99,999"
6,5,1,4,3,2,"$150,000+"
4,5,6,3,1,2,"$25,000 - $49,999"
6,2,1,5,3,4,"$25,000 - $49,999"
1,3,4,6,2,5,"$50,000 - $99,999"
2,1,3,4,5,6,"$0 - $24,999"
1,2,3,4,5,6,"$50,000 - $99,999"
3,4,5,6,1,2,"$0 - $24,999"
3,4,5,2,1,6,"$0 - $24,999"
5,4,6,3,2,1,"$0 - $24,999"
4,5,6,2,3,1,"$50,000 - $99,999"
4,3,6,5,2,1,"$100,000 - $149,999"
6,1,2,3,4,5,"$50,000 - $99,999"
